S NO,NAME,City,Location,Location-href,Website,Cuisines,Price range,Review,Tot_review
1.0,Hilwana Bakery & Restaurant,Alappuzha,Website,http://www.justdial.com/Alappuzha/Hilwana-Bakery-Restaurant-Zero-Jn-Mullakkal/0477PX477-X477-180630231534-K8Z9_BZDET,http://www.justdial.com/Alappuzha/Hilwana-Bakery-Restaurant-Zero-Jn-Mullakkal/0477PX477-X477-180630231534-K8Z9_BZDET,"Breakfast, Lunch, Dinner",₹60 - ₹600,5.0,1 review
2.0,Hotel Devi,Alappuzha,3.0,4.0,5.0,Indian,₹100 - ₹500,4.0,4 reviews
6.0,Lake Dreams,Alappuzha,7.0,8.0,9.0,"Pizza, Seafood, Asian","₹10 - ₹1,000",4.0,5 reviews
10.0,Cafe monkey,Alappuzha,1.0,2.0,3.0,"Indian, Grill, Chinese, Barbecue",₹60 - ₹600,4.0,8 reviews
4.0,Casamia Cafe Restaurant,Alappuzha,Website,https://www.facebook.com/Casamia-Cafe-Restaurant-1077463425728646/,https://www.facebook.com/Casamia-Cafe-Restaurant-1077463425728646/,"Chinese, Indian, European","₹150 - ₹1,000",5.0,2 reviews
5.0,Lemon Tree Cafe,Alappuzha,6.0,7.0,8.0,Indian,₹100 - ₹250,4.5,3 reviews
9.0,Al Baik Arab Cafe,Alappuzha,Website,http://www.facebook.com/Al-Baik-Arab-Cafe-1695275967374844/,http://www.facebook.com/Al-Baik-Arab-Cafe-1695275967374844/,Arabic,₹100 - ₹500,3.5,6 reviews
10.0,Mahadev Pure Veg Restaurant,Alappuzha,1.0,2.0,3.0,"Breakfast, Lunch, Dinner",₹100 - ₹500,5.0,2 reviews
4.0,Kaappi Cafe,Alappuzha,Website,https://www.facebook.com/KaappiCafe/?ref=page_internal,https://www.facebook.com/KaappiCafe/?ref=page_internal,"Cafe, Fast food, European, Asian, Arabic","₹30 - ₹2,000",4.0,6 reviews
5.0,Madras Veg Tables,Alappuzha,6.0,7.0,8.0,"Indian, Asian",₹80 - ₹200,3.5,30 reviews
9.0,Ayodhya Lunch Home,Alappuzha,10.0,1.0,2.0,"Indian, Seafood",₹60 - ₹500,5.0,2 reviews
3.0,Vanchiveedu restaurant,Alappuzha,4.0,5.0,6.0,"Breakfast, Lunch, Dinner, Drinks",7.0,4.0,4 reviews
8.0,River Grill Restaurant,Alappuzha,Website,http://www.rivergrill.in/,http://www.rivergrill.in/,"Indian, Barbecue, Grill, Contemporary, Chinese","₹10 - ₹1,000",4.0,7 reviews
9.0,Go Kerala,Alappuzha,Website,http://www.gokerala.com/,http://www.gokerala.com/,Chinese,"₹6 - ₹1,000",5.0,4 reviews
10.0,Hotel Smitha,Alappuzha,1.0,2.0,3.0,"Seafood, Asian",4.0,4.0,12 reviews
5.0,Kalpakavadi Inn and Restaurant,Alappuzha,Website,http://kalpakavadiinn.business.site/,http://kalpakavadiinn.business.site/,"Lunch, Breakfast, Dinner, Brunch,Indian, Seafood","₹10 - ₹1,000",3.5,19 reviews
6.0,Puttum Kattanum,Alappuzha,7.0,8.0,9.0,"Indian, Asian",₹20 - ₹200,5.0,4 reviews
10.0,Indian Coffee House,Alappuzha,Website,http://www.indiancoffeehouse.com/,http://www.indiancoffeehouse.com/,"Vegetarian Friendly, Indian",1.0,3.5,19 reviews
2.0,Chilla Art Cafe,Alappuzha,Website,https://chilla-art-cafeold-picnic-spot.business.site/,https://chilla-art-cafeold-picnic-spot.business.site/,"European, Central European",₹200 - ₹3000,4.0,7 reviews
3.0,Mahadev Pure Veg Restaurant,Alappuzha,Website,https://www.facebook.com/mahadevpurevegrestaurant/,https://www.facebook.com/mahadevpurevegrestaurant/,"Breakfast, Lunch, Dinner",4.0,4.5,7 reviews
5.0,Kubaba Kuzhimandi,Alappuzha,Website,http://www.kubaba.in/,http://www.kubaba.in/,"Mediterranean, Middle Eastern, Persian, Arabic",6.0,5.0,3 reviews
7.0,Kream Korner Garden Restaurant,Alappuzha,8.0,9.0,10.0,Indian,₹20 - ₹200,5.0,6 reviews
1.0,Cafe Charcoal,Alappuzha,2.0,3.0,4.0,Dinner,"₹6 - ₹1,000",5.0,5 reviews
5.0,Cafe Pumpkin,Alappuzha,Website,https://www.facebook.com/Cafe-Pumpkin-2089160411409763/,https://www.facebook.com/Cafe-Pumpkin-2089160411409763/,"Lunch, Breakfast, Dinner,Italian, Pizza, Cafe, Steakhouse",6.0,4.5,7 reviews
7.0,Hotel Yuvaraj,Alappuzha,8.0,9.0,10.0,"Vegetarian Friendly, Vegan Options,Indian, Chinese, Asian",1.0,4.0,30 reviews
2.0,Chakara Restaurant,Alappuzha,Website,http://www.mararibeachvillas.com/,http://www.mararibeachvillas.com/,"Vegetarian Friendly,Indian, Seafood, Asian","₹10 - ₹1,000",3.5,52 reviews
3.0,Hotel Aryaas Vegetarian Restaurant,Alappuzha,4.0,5.0,6.0,"Vegetarian Friendly, Vegan Options,Indian",7.0,4.0,20 reviews
8.0,Hotel Veg Palace Vegetarian,Alappuzha,9.0,10.0,1.0,"Breakfast, Lunch, Dinner",2.0,5.0,8 reviews
3.0,Marari,Alappuzha,Website,http://www.mararidreamz.com/,http://www.mararidreamz.com/,Dinner,"₹6 - ₹1,000",5.0,11 reviews
4.0,Seashore Homely Food,Alappuzha,Website,http://www.facebook.com/Sea-Shore-Homely-Stay-Restaurant-257139801030215/,http://www.facebook.com/Sea-Shore-Homely-Stay-Restaurant-257139801030215/,"Indian, Asian",₹100 - ₹400,4.5,13 reviews
5.0,Bianco Restaurant,Alappuzha,6.0,7.0,8.0,"Lunch, Dinner, Brunch, Drinks,Chinese, Cafe, Arabic",₹1500 - ₹4090,5.0,5 reviews
9.0,Hassans family restaurant,Alappuzha,10.0,1.0,2.0,"Dinner, Lunch,Asian, Grill",3.0,4.5,12 reviews
4.0,Thaza Family Food Park,Alappuzha,5.0,6.0,7.0,"Indian, Chinese, Asian, Middle Eastern, Arabic",₹60 - ₹700,4.5,18 reviews
8.0,Oru Dosa Company,Alappuzha,Website,https://www.facebook.com/orudosacompany/,https://www.facebook.com/orudosacompany/,"Indian, Fast food, Healthy",₹30 - ₹120,5.0,9 reviews
9.0,Avocado Garden Restaurant,Alappuzha,Website,http://www.vrundavanam.com/avocado-restaurant.html,http://www.vrundavanam.com/avocado-restaurant.html,"Vegan Options, Vegetarian Friendly,Chinese, Indian",10.0,4.0,80 reviews
1.0,Breakfast Village,Alappuzha,Website,https://instagram.com/breakfastvillage?igshid=ymmymta2m2y=,https://instagram.com/breakfastvillage?igshid=ymmymta2m2y=,"Breakfast, Lunch",₹10 - ₹4000,5.0,8 reviews
2.0,DAD's CAFE,Alappuzha,Website,http://www.dadscafe.in/home/index.php,http://www.dadscafe.in/home/index.php,"Cafe, European",₹20 - ₹200,4.0,64 reviews
3.0,Hotel Brothers Restaurant,Alappuzha,Website,https://hotel-brothers.business.site/,https://hotel-brothers.business.site/,"Vegetarian Friendly, Vegan Options,Indian, Asian, Seafood",4.0,4.5,44 reviews
5.0,Eden Garden Restaurant,Alappuzha,6.0,7.0,8.0,"Reservations,Indian, Arabic",9.0,5.0,10 reviews
10.0,Avees Puttu House,Alappuzha,Website,http://www.aveesputtuhouse.com/aveespulincunnoo.html,http://www.aveesputtuhouse.com/aveespulincunnoo.html,"Vegetarian Friendly, Vegan Options,Indian",₹166 - ₹831,3.5,205 reviews
1.0,Makkani Restaurant,Alappuzha,2.0,3.0,4.0,"Chinese, Indian, Arabic",₹200 - ₹500,4.0,111 reviews
5.0,Pizza Hub,Alappuzha,Website,https://www.facebook.com/pizzahubalpy,https://www.facebook.com/pizzahubalpy,Pizza,₹260 - ₹390,5.0,18 reviews
6.0,Hotel Royale Park,Alappuzha,Website,http://www.hotelroyalepark.com/,http://www.hotelroyalepark.com/,"Vegetarian Friendly, Vegan Options,Chinese, Indian","₹364 - ₹4,590",3.5,159 reviews
7.0,Kream Korner,Alappuzha,Website,http://kreamkornerartcafe.com/,http://kreamkornerartcafe.com/,"Vegan Options, Vegetarian Friendly,Indian, Asian",8.0,3.5,250 reviews
9.0,Choola Restaurant,Alappuzha,Website,http://www.punnamada.com/the-resort/restaurant.html,http://www.punnamada.com/the-resort/restaurant.html,10.0,"₹400 - ₹5,548",4.5,45 reviews
1.0,Cassia,Alappuzha,Website,http://www.thecassia.in/,http://www.thecassia.in/,"Chinese, Seafood, Asian, International",₹80 - ₹250,4.0,172 reviews
2.0,The Harbour Restaurant,Alappuzha,3.0,4.0,5.0,"Vegetarian Friendly,Indian",6.0,3.5,247 reviews
