S No,name,type,review,totreviews,image-src,time,about
1,Malik Deenar Mosque,Religious Sites,4,7 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/31/87/8b/mosque.jpg?w=1000&h=800&s=1,4:00 AM - 7:00 PM,Not Available
2,Chembirika Beach,Beaches,5,4 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8c/28/f8/chembirika-beach.jpg?w=1000&h=800&s=1,Not Available,Not Available
3,Chandragiri Fort,Historic Sites,3.5,25 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d7/01/79/chandragiri-fort.jpg?w=1000&h=800&s=1,Not Available,Not Available
4,Nityanandashram Caves,Caverns & Caves,4,8 reviews,Not Available,Not Available,Not Available
5,Madiyan Koolom,Religious Sites,5,4 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a9/03/0d/madiyan-koolom-temple.jpg?w=1000&h=800&s=1,Not Available,Not Available
6,Mogral River,Bodies of Water,4.5,8 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cd/ad/81/mogral-river.jpg?w=1000&h=800&s=1,Not Available,Not Available
7,Swami Nithyanand Ashram,Religious Sites,4,10 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/32/e6/2b/entrance-to-swami-nithyananda.jpg?w=1000&h=800&s=1,Not Available,Not Available
8,Bela Church,Churches & Cathedrals,4,11 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/0e/68/0a/bela-church.jpg?w=1000&h=800&s=1,Not Available,Not Available
9,Palakunnu Sree Bhagavathi Temple,Religious Sites,4.5,6 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/cf/91/49/palakunnu-sree-bhagavathi.jpg?w=1000&h=800&s=1,Not Available,Not Available
10,Azhithala Beach,Beaches,4.5,8 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/bd/f2/50/aaaaa.jpg?w=1000&h=800&s=1,Not Available,Not Available
11,Mallikarjuna Temple,Religious Sites,4,13 reviews,Not Available,Not Available,is built for Shiva devotees and has an Ayyappan
12,Pilavalapp,Points of Interest & Landmarks,4.5,6 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/f1/99/c2/pilavalapp.jpg?w=1000&h=800&s=1,Not Available,Not Available
13,Chandragiri Fort,Ancient Ruins,3.5,33 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/6e/dc/97/chandragiri-fort.jpg?w=1000&h=800&s=1,Not Available,Not Available
14,Kareem's Forest Park,Nature & Wildlife Areas,4.5,8 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/be/34/42/kareem-s-forest-park.jpg?w=1000&h=800&s=1,Not Available,Not Available
15,Trikkannad Tryambakeshwara Kshethra,Religious Sites,4,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/33/a2/28/getlstd-property-photo.jpg?w=1000&h=800&s=1,Not Available,Not Available
16,Shri Gopalakrishna Temple,Religious Sites,5,16 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/73/91/d1/entrance-to-shri-gopalakrishna.jpg?w=1000&h=800&s=1,"6:00 AM - 12:00 PM, 6:00 PM - 8:00 PM",Not Available
17,"Malom - ""The coorg of Kerala""",Nature & Wildlife Areas,4.5,16 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2d/58/2e/adottukaya-kappally-view.jpg?w=1000&h=800&s=1,12:00 AM - 11:59 PM,Not Available
