S No,name,location,rating,totratings,facilities,Unnamed: 5
1,Thekkady Mar Thoma Meadows,"Ottakathalamedu View Point Rd, Kumily, Kerala 685509",4.7,23 reviews,Wi-FifreeParkingfree,Not Available
2,Hotel Hillfort,"NH 49, Adimali, Kerala 685561",3.8,469 reviews,BreakfastfreeWi-FifreeParkingRestaurant,Not Available
3,Mistywindvalley Resort,"216, Illikkal Kallu Road, Moonnilavu, Thalanadu, Kerala 686586",4.9,292 reviews,PoolParkingfreeBreakfastfreeWi-Fifree,Not Available
4,LEMONGRASS INN,"Rajakkad - Pooppara Rd, Rajakkad, Kerala 685566",4.1,707 reviews,ParkingfreeWi-FifreeAir conditioningBreakfastextra charge,Not Available
5,"Oxygen Resorts, Thekkady","Murikkady PO, Kumily Anavilasam Road, Thekkady, Kumily, Kerala 685535",4.1,"1,977 reviews",PoolSpaParkingfreeBreakfastfree,Not Available
6,The Wayside Cottage Munnar,"federal bank junction, kunchithanni, Munnar, Kerala 685565",4.3,86 reviews,Not Available,Not Available
7,Vibe Resort Munnar / Five Star Luxury Resorts in Munnar,"Eatty City Road Chithirapuram P.O, Munnar, Kerala 685565",4.7,"1,581 reviews",SpaPoolBreakfastfreeWi-Fifree,Not Available
8,Sprise Munnar - Resort & Spa,"Sengulam P O, near Maryland Church, Munnar, Kerala 685565",4.9,807 reviews,Not Available,Not Available
9,Palette Hill View Resort Vagamon,"Opp. Moon Mala Tharayanganam Stop, P.O, Vagamon, Kerala 685503",4.1,"1,436 reviews",PoolBreakfastfreeWi-FifreeParkingfree,Not Available
10,LOVE HILLS RESORT,"Narakakanam, Ayyappancoil, Kerala 685602",4.6,116 reviews,Not Available,Not Available
11,Viceroy Luxury Mountain Resort & Spa,"11/25, Ellackal -Pottankad Rd, Uppar Nirappu, Thekkumkanam, Kerala 685565",4.9,285 reviews,Not Available,Not Available
12,Eterno Camellia & Elettaria Resort Munnar,"Rd pump house, Pottenkade p o Bison Valley - Pooppara, Munnar, Kerala 685565",4.4,804 reviews,SpaPoolBreakfastfreeWi-Fifree,Not Available
13,MOUNTAIN BREEZE IDUKKI,Not Available,Not Available,Not Available,Not Available,Not Available
14,Noah's Nest Tree House,Not Available,Not Available,Not Available,Not Available,Not Available
15,GAIRAH RESORTS,Not Available,Not Available,Not Available,Not Available,Not Available
16,Wildernest,Not Available,Not Available,Not Available,Not Available,Not Available
17,Green Court Cottages,Not Available,Not Available,Not Available,Not Available,Not Available
18,Santhi Hill View Resorts,"p o, Santhi Hills Chithirapuram, Anachal, Kerala 685565",4.4,214 reviews,Not Available,Not Available
19,Hotel Idukki Castle,"Thadiyampadu Thadiyampadu P. O, Idukki Twp, Kerala 685602",4.9,22 reviews,Not Available,Not Available
20,"IGLOO HERITAGE HOTELS & RESORTS, CHERUTHONI, IDUKKI","Idukki - Neriyamangalam Rd, Cheruthoni, Kerala 685602",4.3,380 reviews,ParkingfreeWi-FifreeAir conditioningRestaurant,Not Available
21,Arctic business hotel rooms and suites foods,"X873+42J, Cheruparambath road, Netaji Rd, Indira Nagar, Kadavanthra, Kochi, Kerala 682020",4.7,252 reviews,Not Available,Not Available
22,THE SENATE HOTEL,"Providence Rd, Kacheripady, Ernakulam, Kerala 682018",4.1,"1,303 reviews",BreakfastfreeParkingfreeAir conditioningWi-Fi,Not Available
23,Hotel Hilite Inn,"69/3354, SRM Road, North Kaloor, Kaloor, Ernakulam, Kerala 682018",4.2,648 reviews,BreakfastfreeWi-FifreeParkingfreeAir conditioning,Not Available
24,Crowne Plaza Kochi,"Xi/641A Kundanoor Junction NH-47 Bypass PO, Maradu, Kochi, Kerala 682304",4.6,"14,640 reviews",PoolSpaBreakfastfreeWi-Fifree,Not Available
25,Hotel Palmyra Grand Inn - Cochin,"Cannon Shed Rd, Colombo Jn, Market Rd, near Boat Jetty, Ernakulam, Kerala 682011",3.9,"1,583 reviews",SpaBreakfastfreeWi-FifreeParkingfree,Not Available
26,Almas Residency,"Peediyakkal Road, SRM Road, Kaloor, Kochi, Kerala 682018",3.9,437 reviews,Wi-FifreeAir conditioning,Not Available
27,Hotel South Regency,"Swami Vivekananda Road, opposite South Railway Station Road, Ernakulam, Kerala 682011",4,"1,259 reviews",Wi-FifreeParkingfreeAir conditioningBreakfast,Not Available
28,Hotel Excellency,"P.B No.1748, Nettipadam Road, Off, Mahatma Gandhi Rd, Jos Junction, Kochi, Kerala 682016",3.7,"1,341 reviews",BreakfastfreeWi-FifreeParkingfreeAir conditioning,Not Available
29,Zostel Kochi (Ernakulam),"54-251-A, Kumaranasan Rd, Kadavanthara, North Block, Kumaranasan Nagar, Elamkulam, Ernakulam, Kerala 682020",4.8,222 reviews,Not Available,Not Available
30,The Golden Suites,"X7PH+MP6, I S Press Rd, Kacheripady, Ernakulam, Kerala 682018",3.9,233 reviews,PoolWi-FifreeParking,Not Available
31,"ADDRESS7 Hotel, Kalamassery","Metro pillar no: 263, Metro station, MIK Building, near Kalamassery, North Kalamassery, Kochi, Kerala 683104",4.8,137 reviews,Wi-FifreeParkingfreeAirport shuttle,Not Available
32,Hotel Aiswarya,"Jose Junction, warriam road Opposite Lotus Club, Kochi, Kerala 682016",3.8,"2,250 reviews",BreakfastfreeAir conditioningWi-FiParking,Not Available
33,OAK FIELD INN,"X78Q+V67, Valanjambalam, Kochi, Ernakulam, Kerala 682016",3.8,755 reviews,BreakfastfreeParkingfreeAir conditioningWi-Fi,Not Available
34,A V Residency,"St Benedict Rd, Kacheripady, Ernakulam, Kerala 682018",3.8,778 reviews,Wi-FifreeAir conditioningAirport shuttleRestaurant,Not Available
35,Hotel Galaxy INN Rooms,"Near Highcourt junction and Marine drive Ernakulam, Market Rd, Kochi, Kerala 682035",3.8,465 reviews,Air conditioningBreakfastWi-FiAirport shuttle,Not Available
